,word,pos_tag,tag_type,sentence
15,made,VBD,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
16,recombinant,JJ,ADJ,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
17,dna,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
18,made,VBD,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
19,mrna,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
20,really,RB,ADV,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
21,hate,VBP,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
22,people,NNS,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
23,spread,VBD,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
24,misinformation,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
25,luciferase,VBP,VERB,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
26,enzyme,FW,X,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
27,vaccine,NN,NOUN,johensley darcyshepherd jeffreyguterman realdonaldtrump different vaccine different ingredient take covid second efficacy fine also thevaccine made recombinant dna made mrna really hate people spread misinformation luciferase enzyme vaccine
28,may,MD,AUX,may remind vaccine isnt caught covid also prevent co htfc jp co
29,remind,VB,VERB,may remind vaccine isnt caught covid also prevent co htfc jp co
30,vaccine,NN,NOUN,may remind vaccine isnt caught covid also prevent co htfc jp co
31,is,VBZ,AUX,may remind vaccine isnt caught covid also prevent co htfc jp co
32,nt,RB,PART,may remind vaccine isnt caught covid also prevent co htfc jp co
33,caught,VBN,VERB,may remind vaccine isnt caught covid also prevent co htfc jp co
34,covid,JJ,ADJ,may remind vaccine isnt caught covid also prevent co htfc jp co
35,also,RB,ADV,may remind vaccine isnt caught covid also prevent co htfc jp co
36,prevent,VB,VERB,may remind vaccine isnt caught covid also prevent co htfc jp co
37,co,NNP,PROPN,may remind vaccine isnt caught covid also prevent co htfc jp co
38,htfc,NNP,PROPN,may remind vaccine isnt caught covid also prevent co htfc jp co
39,jp,NNP,PROPN,may remind vaccine isnt caught covid also prevent co htfc jp co
40,co,NNP,PROPN,may remind vaccine isnt caught covid also prevent co htfc jp co
41,mjackermanmdphd,NNP,PROPN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
42,hi,NNP,PROPN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
43,dr,NNP,PROPN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
44,ackerman,NNP,PROPN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
45,like,IN,ADP,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
46,know,VBP,VERB,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
47,going,VBG,VERB,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
48,discus,NN,NOUN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
49,safe,JJ,ADJ,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
50,covid,JJ,ADJ,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
51,vaccine,NN,NOUN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
52,lqts,NN,NOUN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
53,patient,NNP,PROPN,mjackermanmdphd hi dr ackerman like know going discus safe covid vaccine lqts patient
54,shandro,NNP,PROPN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
55,hinshaw,NNP,PROPN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
56,give,VBP,VERB,shandro hinshaw give covid vaccine update noon co jhtbfjqku
57,covid,JJ,ADJ,shandro hinshaw give covid vaccine update noon co jhtbfjqku
58,vaccine,NN,NOUN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
59,update,NN,NOUN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
60,noon,NN,NOUN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
61,co,NN,NOUN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
62,jhtbfjqku,NNP,PROPN,shandro hinshaw give covid vaccine update noon co jhtbfjqku
63,ever,RB,ADV,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
64,noticed,VBN,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
65,announced,VBN,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
66,yesterday,NN,NOUN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
67,december,NNP,PROPN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
68,th,XX,X,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
69,great,JJ,ADJ,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
70,vaccine,NN,NOUN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
71,protect,VBP,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
72,covid,JJ,ADJ,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
73,effective,JJ,ADJ,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
74,took,VBD,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
75,le,FW,X,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
76,year,NN,NOUN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
77,develop,VB,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
78,yet,RB,ADV,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
79,still,RB,ADV,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
80,cure,VB,VERB,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
81,cancer,NN,NOUN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
82,year,NN,NOUN,ever noticed announced yesterday december th great vaccine protect covid effective took le year develop yet still cure cancer year
83,covid_long,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
84,longcovid,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
85,anaphylaxis,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
86,troublesome,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
87,year,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
88,problem,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
89,ade,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
90,cv,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
91,vaccine,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
92,covid,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
93,vaccine,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
94,designed,VBD,VERB,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
95,elicit,JJ,ADJ,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
96,neutralizing,VBG,VERB,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
97,antibody,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
98,may,MD,AUX,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
99,sensitize,VB,VERB,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
100,vaccine,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
101,recipient,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
102,severe,JJ,ADJ,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
103,disease,NN,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
104,vaccinated,VBD,VERB,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
105,co,NNP,PROPN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
106,gnjlljalju,NNS,NOUN,covid_long longcovid anaphylaxis troublesome year problem ade cv vaccine covid vaccine designed elicit neutralizing antibody may sensitize vaccine recipient severe disease vaccinated co gnjlljalju
107,b,LS,X,b poll plan receiving type covid vaccine covidvaccines
108,poll,NN,NOUN,b poll plan receiving type covid vaccine covidvaccines
109,plan,NN,NOUN,b poll plan receiving type covid vaccine covidvaccines
110,receiving,VBG,VERB,b poll plan receiving type covid vaccine covidvaccines
111,type,NN,NOUN,b poll plan receiving type covid vaccine covidvaccines
112,covid,JJ,ADJ,b poll plan receiving type covid vaccine covidvaccines
113,vaccine,NN,NOUN,b poll plan receiving type covid vaccine covidvaccines
114,covidvaccines,NNS,NOUN,b poll plan receiving type covid vaccine covidvaccines
115,covid,NNP,PROPN,covid vaccine safety efficacy important brand adoctors co bewszrc e
116,vaccine,NN,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
117,safety,NN,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
118,efficacy,NN,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
119,important,JJ,ADJ,covid vaccine safety efficacy important brand adoctors co bewszrc e
120,brand,NN,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
121,adoctors,NNS,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
122,co,NNP,PROPN,covid vaccine safety efficacy important brand adoctors co bewszrc e
123,bewszrc,NNP,PROPN,covid vaccine safety efficacy important brand adoctors co bewszrc e
124,e,NN,NOUN,covid vaccine safety efficacy important brand adoctors co bewszrc e
125,hour,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
126,post,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
127,nd,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
128,covid,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
129,vaccine,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
130,body,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
131,ache,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
132,headache,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
133,low,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
134,grade,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
135,temp,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
136,shiver,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
137,would,MD,AUX,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
138,take,VB,VERB,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
139,vaccine,NN,NOUN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
140,heartbeat,VB,VERB,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
141,really,RB,ADV,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
142,glad,JJ,ADJ,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
143,vaccinated,JJ,ADJ,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
144,covid,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
145,_,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
146,moderna,NNP,PROPN,hour post nd covid vaccine body ache headache low grade temp shiver would take vaccine heartbeat really glad vaccinated covid_ moderna
147,update,VB,VERB,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
148,government,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
149,tuesday,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
150,stated,VBD,VERB,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
151,covid,JJ,ADJ,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
152,vaccine,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
153,also,RB,ADV,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
154,work,VB,VERB,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
155,new,JJ,ADJ,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
156,variant,JJ,ADJ,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
157,virus,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
158,proof,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
159,current,JJ,ADJ,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
160,vaccine,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
161,fail,VBP,VERB,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
162,guard,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
163,sars,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
164,cov,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
165,mutant,NN,NOUN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
166,claimed,VBD,VERB,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
167,uk,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
168,south,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
169,africa,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
170,co,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
171,fmtrmei,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
172,ox,NNP,PROPN,update government tuesday stated covid vaccine also work new variant virus proof current vaccine fail guard sars cov mutant claimed uk south africa co fmtrmei ox
173,ano,NNP,PROPN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
174,covid,NNP,PROPN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
175,related,VBN,VERB,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
176,death,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
177,covid,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
178,case,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
179,requiring,VBG,VERB,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
180,medical,JJ,ADJ,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
181,intervention,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
182,occurring,VBG,VERB,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
183,day,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
184,post,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
185,vaccination,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
186,among,IN,ADP,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
187,participant,JJ,ADJ,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
188,age,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
189,year,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
190,older,JJR,ADJ,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
191,medical,JJ,ADJ,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
192,comorbidities,NNS,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
193,vaccine,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
194,group,NN,NOUN,ano covid related death covid case requiring medical intervention occurring day post vaccination among participant age year older medical comorbidities vaccine group
195,asked,VBD,VERB,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
196,answered,JJ,ADJ,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
197,check,NN,NOUN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
198,updated,VBN,VERB,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
199,north,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
200,carolina,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
201,covid,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
202,vaccine,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
203,faq,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
204,co,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
205,tcnrllmdvf,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
206,co,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
207,yt,NNP,PROPN,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
208,wcjsn,VBD,VERB,asked answered check updated north carolina covid vaccine faq co tcnrllmdvf co yt wcjsn
209,bob_wachter,NNP,PROPN,bob_wachter peter mark explained changing dose vaccine regimen dose immune response could dwindle faster know happen know already people get mild covid tend lose immune response pretty quickly min mark co kwn mfqweg
210,peter,NNP,PROPN,bob_wachter peter mark explained changing dose vaccine regimen dose immune response could dwindle faster know happen know already people get mild covid tend lose immune response pretty quickly min mark co kwn mfqweg
211,mark,NNP,PROPN,bob_wachter peter mark explained changing dose vaccine regimen dose immune response could dwindle faster know happen know already people get mild covid tend lose immune response pretty quickly min mark co kwn mfqweg
212,explained,VBD,VERB,bob_wachter peter mark explained changing dose vaccine regimen dose immune response could dwindle faster know happen know already people get mild covid tend lose immune response pretty quickly min mark co kwn mfqweg
